host_key,host_name,host_grid_id,rule_source_id,rule_venue_name,rule_state,distance_m,weight
hotel|doriszhen公寓|福田区,Doriszhen公寓,SZ500_0056_0031,PPR_075,KK ONE购物中心,conditional_liminal_rule,442.09502186371486,0.11909057693644537
hotel|dreamjourney梦之旅国际青年旅舍|福田区,Dream journey梦之旅国际青年旅舍,SZ500_0073_0036,PPR_088,园岭三街雕塑公园宠物友好空间,explicit_open_rule,721.0965820794978,0.08089654332209696
hotel|e居概念家|南山区,e居概念家,SZ500_0035_0028,PPR_035,深圳湾睿印RAIL IN,conditional_liminal_rule,301.3903317374286,0.1564249141154258
hotel|e居概念家|南山区,e居概念家,SZ500_0035_0028,PPR_HILTON_013,Hilton Garden Inn Shenzhen Nanshan Avenue,restrictive_rule,513.1432066225889,0.1319791301459742
hotel|fuqinglonghuatianholidayhotel|福田区,FuqinglongHuatianHolidayHotel,SZ500_0065_0032,PPR_069,The Ritz-Carlton Shenzhen,restrictive_rule,537.6813188814714,0.12906620750680023
hotel|fuqinglonghuatianholidayhotel|福田区,FuqinglongHuatianHolidayHotel,SZ500_0065_0032,PPR_021,深圳柏悦酒店,restrictive_rule,585.0826862911786,0.11148598720842502
hotel|hailee民宿|福田区,HAILEE民宿,SZ500_0056_0031,PPR_076,中洲湾 C Future City 宠物市集,conditional_liminal_rule,699.7417271401989,0.053973834262302185
hotel|hailee民宿|福田区,HAILEE民宿,SZ500_0056_0031,PPR_075,KK ONE购物中心,conditional_liminal_rule,463.10561366747635,0.11047419818859346
hotel|happyroom快乐家园青年旅舍|福田区,happyroom快乐家园青年旅舍,SZ500_0073_0036,PPR_088,园岭三街雕塑公园宠物友好空间,explicit_open_rule,792.2955745621823,0.06800444459181208
hotel|h·海恒诺酒店公寓|南山区,H·海恒诺酒店公寓,SZ500_0041_0034,PPR_HILTON_010,Hampton by Hilton Shenzhen Nanshan Science & Technology Park,restrictive_rule,295.5639199093674,0.303039162928754
hotel|h·海恒诺酒店公寓|南山区,H·海恒诺酒店公寓,SZ500_0041_0034,PPR_057,深圳南山科技园希尔顿惠庭酒店,conditional_liminal_rule,184.4206536526728,0.5285703594929576
hotel|iu酒店|福田区,iu酒店,SZ500_0066_0028,PPR_HILTON_002,Hampton by Hilton Shenzhen Futian Port,restrictive_rule,475.5492196588262,0.1498468056890901
hotel|jw希尔顿酒店公寓|福田区,JW希尔顿酒店公寓,SZ500_0073_0036,PPR_088,园岭三街雕塑公园宠物友好空间,explicit_open_rule,717.8533159977833,0.08156627350538928
hotel|k2国际青年旅舍|龙华区,K2国际青年旅舍,SZ500_0055_0052,PPR_HILTON_007,Hampton by Hilton Shenzhen North Station,restrictive_rule,604.7871385707577,0.09933179617079341
hotel|lily姐民宿|福田区,LILY姐民宿,SZ500_0060_0030,PPR_084,沙头新洲路紫薇公园宠物友好空间,explicit_open_rule,561.2172515826439,0.1265394984885843
hotel|lnsailhotel|罗湖区,lnsailHotel,SZ500_0077_0034,PPR_094,东门雅园立交桥下宠物友好活动空间,explicit_open_rule,763.3359911733068,0.07285901355306837
hotel|lnsailhotel|罗湖区,lnsailHotel,SZ500_0077_0034,PPR_HILTON_006,Hampton by Hilton Shenzhen Dongmen,restrictive_rule,250.59967569342226,0.36996337183365646
hotel|luohuhotel|罗湖区,LuohuHotel,SZ500_0076_0034,PPR_098,桂园地王大厦对面街心公园宠物友好活动空间,explicit_open_rule,770.4114735382368,0.07162731926266633
hotel|luohuhotel|罗湖区,LuohuHotel,SZ500_0076_0034,PPR_020,深圳君悦酒店一般酒店政策,restrictive_rule,704.5095630483536,0.07996567505684313
