grid_id,district_name,topology_surface,weighted_topological_degree,pet_rule_pagerank,topology_ecology_class,pet_service_count_2025,positive_rule_count
SZ500_0027_0048,宝安区,0.3082053265554205,8.0,0.0001093882538772,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0049,宝安区,0.36248204221460933,8.0,0.0001100522902705,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0050,宝安区,0.4061830036468118,8.0,0.0001103648585114,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0051,宝安区,0.431224444690021,8.0,0.0001104687569029,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0052,宝安区,0.43930821085202787,8.0,0.0001104904173569,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0053,宝安区,0.442955022654437,8.0,0.0001104953921101,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0054,宝安区,0.44599403248977787,8.0,0.0001105001527807,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0055,宝安区,0.45012708586584155,8.0,0.0001105046977979,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0056,宝安区,0.4528014145209416,8.0,0.0001105071027211,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0057,宝安区,0.4515250303900984,8.0,0.0001105057981812,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0058,宝安区,0.446297933473312,8.0,0.000110500338898,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0059,宝安区,0.44101005635981877,8.0,0.0001104927552498,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0060,宝安区,0.4383357277047188,8.0,0.0001104871945362,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0061,宝安区,0.4383965079014256,8.0,0.0001104874455719,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0062,宝安区,0.4414355177367665,8.0,0.0001104932573212,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0063,宝安区,0.44654105426013924,8.0,0.0001105008409694,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0064,宝安区,0.45243673334070067,8.0,0.0001105064077018,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0065,宝安区,0.4558404243562825,8.0,0.0001105088559186,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0066,光明区,0.4829180019891701,8.0,0.0001105094485578,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0067,光明区,0.4829180019891701,8.0,0.0001105094485578,low_network_pet_rule_signal,0.0,0.0
