year,source_file,source_category,encoding,rows_scanned,candidate_rows,exclusion_rows,read_status,read_error
2023,深圳市2023/csv2/广东_深圳市_摩托车服务.csv,摩托车服务,utf-8-sig,440,0,1,ok,
2023,深圳市2023/csv2/广东_深圳市_政府机构及社会团体.csv,政府机构及社会团体,utf-8-sig,21970,0,0,ok,
2023,深圳市2023/csv2/广东_深圳市_汽车服务.csv,汽车服务,utf-8-sig,18671,0,16,ok,
2023,深圳市2023/csv2/广东_深圳市_汽车维修.csv,汽车维修,utf-8-sig,3936,0,1,ok,
2023,深圳市2023/csv2/广东_深圳市_汽车销售.csv,汽车销售,utf-8-sig,3600,0,1,ok,
2023,深圳市2023/csv2/广东_深圳市_生活服务.csv,生活服务,utf-8-sig,134333,98,60,ok,
2023,深圳市2023/csv2/广东_深圳市_科教文化服务.csv,科教文化服务,utf-8-sig,24690,9,6,ok,
2023,深圳市2023/csv2/广东_深圳市_购物服务.csv,购物服务,utf-8-sig,210293,5370,441,ok,
2023,深圳市2023/csv2/广东_深圳市_道路附属设施.csv,道路附属设施,utf-8-sig,270,0,0,ok,
2023,深圳市2023/csv2/广东_深圳市_金融保险服务.csv,金融保险服务,utf-8-sig,8017,1,0,ok,
2023,深圳市2023/csv2/广东_深圳市_风景名胜.csv,风景名胜,utf-8-sig,3772,24,0,ok,
2023,深圳市2023/csv2/广东_深圳市_餐饮服务.csv,餐饮服务,utf-8-sig,132187,46,80,ok,
2024,深圳市2024/csv/深圳市_广东_202407_事件活动.csv,07_事件活动,utf-8-sig,6,0,0,ok,
2024,深圳市2024/csv/深圳市_广东_202407_交通设施服务.csv,07_交通设施服务,utf-8-sig,58105,0,0,ok,
2024,深圳市2024/csv/深圳市_广东_202407_住宿服务.csv,07_住宿服务,utf-8-sig,30157,1,1,ok,
2024,深圳市2024/csv/深圳市_广东_202407_体育休闲服务.csv,07_体育休闲服务,utf-8-sig,21586,20,34,ok,
2024,深圳市2024/csv/深圳市_广东_202407_公共设施.csv,07_公共设施,utf-8-sig,7180,0,0,ok,
2024,深圳市2024/csv/深圳市_广东_202407_公司企业.csv,07_公司企业,utf-8-sig,174369,57,16,ok,
2024,深圳市2024/csv/深圳市_广东_202407_医疗保健服务.csv,07_医疗保健服务,utf-8-sig,27619,749,2,ok,
2024,深圳市2024/csv/深圳市_广东_202407_商务住宅.csv,07_商务住宅,utf-8-sig,30378,1,1,ok,
2024,深圳市2024/csv/深圳市_广东_202407_地名地址信息.csv,07_地名地址信息,utf-8-sig,202765,1,0,ok,
2024,深圳市2024/csv/深圳市_广东_202407_室内设施.csv,07_室内设施,utf-8-sig,3,0,0,ok,
2024,深圳市2024/csv/深圳市_广东_202407_摩托车服务.csv,07_摩托车服务,utf-8-sig,557,0,1,ok,
2024,深圳市2024/csv/深圳市_广东_202407_政府机构及社会团体.csv,07_政府机构及社会团体,utf-8-sig,22664,0,0,ok,
2024,深圳市2024/csv/深圳市_广东_202407_汽车服务.csv,07_汽车服务,utf-8-sig,19616,0,17,ok,
2024,深圳市2024/csv/深圳市_广东_202407_汽车维修.csv,07_汽车维修,utf-8-sig,4036,0,0,ok,
2024,深圳市2024/csv/深圳市_广东_202407_汽车销售.csv,07_汽车销售,utf-8-sig,3841,0,2,ok,
2024,深圳市2024/csv/深圳市_广东_202407_生活服务.csv,07_生活服务,utf-8-sig,119402,38,57,ok,
2024,深圳市2024/csv/深圳市_广东_202407_科教文化服务.csv,07_科教文化服务,utf-8-sig,26714,13,7,ok,
2024,深圳市2024/csv/深圳市_广东_202407_虚拟数据.csv,07_虚拟数据,utf-8-sig,14462,1,5,ok,
2024,深圳市2024/csv/深圳市_广东_202407_购物服务.csv,07_购物服务,utf-8-sig,193460,4957,386,ok,
2024,深圳市2024/csv/深圳市_广东_202407_道路附属设施.csv,07_道路附属设施,utf-8-sig,261,0,0,ok,
2024,深圳市2024/csv/深圳市_广东_202407_金融保险服务.csv,07_金融保险服务,utf-8-sig,8205,1,0,ok,
2024,深圳市2024/csv/深圳市_广东_202407_风景名胜.csv,07_风景名胜,utf-8-sig,5363,34,4,ok,
2024,深圳市2024/csv/深圳市_广东_202407_餐饮服务.csv,07_餐饮服务,utf-8-sig,132702,47,72,ok,
2025,深圳市2025/csv/广东省_深圳市_交通设施服务_2025.csv,交通设施服务,utf-8-sig,52976,1,0,ok,
2025,深圳市2025/csv/广东省_深圳市_住宿服务_2025.csv,住宿服务,utf-8-sig,20217,0,3,ok,
2025,深圳市2025/csv/广东省_深圳市_体育休闲服务_2025.csv,体育休闲服务,utf-8-sig,23562,24,66,ok,
2025,深圳市2025/csv/广东省_深圳市_公共设施_2025.csv,公共设施,utf-8-sig,8340,0,0,ok,
2025,深圳市2025/csv/广东省_深圳市_公司企业_2025.csv,公司企业,utf-8-sig,127239,33,13,ok,
2025,深圳市2025/csv/广东省_深圳市_医疗保健服务_2025.csv,医疗保健服务,utf-8-sig,26050,577,4,ok,
2025,深圳市2025/csv/广东省_深圳市_商务住宅_2025.csv,商务住宅,utf-8-sig,34862,1,3,ok,
2025,深圳市2025/csv/广东省_深圳市_地名地址信息_2025.csv,地名地址信息,utf-8-sig,166714,1,0,ok,
2025,深圳市2025/csv/广东省_深圳市_室内设施_2025.csv,室内设施,utf-8-sig,73201,0,0,ok,
2025,深圳市2025/csv/广东省_深圳市_摩托车服务_2025.csv,摩托车服务,utf-8-sig,676,0,0,ok,
