year,category,relative_path,size_bytes,encoding,read_status,read_error
2019,公共设施,深圳市2019/csv/2019_公共设施.csv,1617935,utf-8-sig,ok,
2019,公司企业,深圳市2019/csv/2019_公司企业.csv,54857520,utf-8-sig,ok,
2019,医疗保健服务,深圳市2019/csv/2019_医疗保健服务.csv,10984160,utf-8-sig,ok,
2019,商务住宅,深圳市2019/csv/2019_商务住宅.csv,11737404,utf-8-sig,ok,
2019,地名地址信息,深圳市2019/csv/2019_地名地址信息.csv,40260024,utf-8-sig,ok,
2019,室内设施,深圳市2019/csv/2019_室内设施.csv,16361034,utf-8-sig,ok,
2019,摩托车服务,深圳市2019/csv/2019_摩托车服务.csv,98898,utf-8-sig,ok,
2019,政府机构及社会团体,深圳市2019/csv/2019_政府机构及社会团体.csv,8722950,utf-8-sig,ok,
2019,汽车服务,深圳市2019/csv/2019_汽车服务.csv,8390121,utf-8-sig,ok,
2019,汽车维修,深圳市2019/csv/2019_汽车维修.csv,2323487,utf-8-sig,ok,
2019,汽车销售,深圳市2019/csv/2019_汽车销售.csv,1593430,utf-8-sig,ok,
2019,生活服务,深圳市2019/csv/2019_生活服务.csv,60611892,utf-8-sig,ok,
2019,科教文化服务,深圳市2019/csv/2019_科教文化服务.csv,15463221,utf-8-sig,ok,
2019,购物服务,深圳市2019/csv/2019_购物服务.csv,91369351,utf-8-sig,ok,
2019,通行设施,深圳市2019/csv/2019_通行设施.csv,15762572,utf-8-sig,ok,
2019,道路附属设施,深圳市2019/csv/2019_道路附属设施.csv,82747,utf-8-sig,ok,
2019,金融保险服务,深圳市2019/csv/2019_金融保险服务.csv,3810993,utf-8-sig,ok,
2019,风景名胜,深圳市2019/csv/2019_风景名胜.csv,1470343,utf-8-sig,ok,
2019,餐饮服务,深圳市2019/csv/2019_餐饮服务.csv,69553692,utf-8-sig,ok,
2020,事件活动,深圳市2020/csv/2020_事件活动.csv,1733,utf-8-sig,ok,
2020,交通设施服务,深圳市2020/csv/2020_交通设施服务.csv,11526009,utf-8-sig,ok,
2020,住宿服务,深圳市2020/csv/2020_住宿服务.csv,5565504,utf-8-sig,ok,
2020,体育休闲服务,深圳市2020/csv/2020_体育休闲服务.csv,6176619,utf-8-sig,ok,
2020,公共设施,深圳市2020/csv/2020_公共设施.csv,1410461,utf-8-sig,ok,
2020,公司企业,深圳市2020/csv/2020_公司企业.csv,43064992,utf-8-sig,ok,
2020,医疗保健服务,深圳市2020/csv/2020_医疗保健服务.csv,8313768,utf-8-sig,ok,
2020,商务住宅,深圳市2020/csv/2020_商务住宅.csv,8699809,utf-8-sig,ok,
2020,地名地址信息,深圳市2020/csv/2020_地名地址信息.csv,41704278,utf-8-sig,ok,
2020,室内设施,深圳市2020/csv/2020_室内设施.csv,21331096,utf-8-sig,ok,
2020,摩托车服务,深圳市2020/csv/2020_摩托车服务.csv,71132,utf-8-sig,ok,
2020,政府机构及社会团体,深圳市2020/csv/2020_政府机构及社会团体.csv,7943876,utf-8-sig,ok,
2020,汽车服务,深圳市2020/csv/2020_汽车服务.csv,5948927,utf-8-sig,ok,
2020,汽车维修,深圳市2020/csv/2020_汽车维修.csv,1592698,utf-8-sig,ok,
2020,汽车销售,深圳市2020/csv/2020_汽车销售.csv,1185407,utf-8-sig,ok,
2020,生活服务,深圳市2020/csv/2020_生活服务.csv,46739425,utf-8-sig,ok,
2020,科教文化服务,深圳市2020/csv/2020_科教文化服务.csv,11422391,utf-8-sig,ok,
2020,购物服务,深圳市2020/csv/2020_购物服务.csv,66739973,utf-8-sig,ok,
2020,通行设施,深圳市2020/csv/2020_通行设施.csv,12172262,utf-8-sig,ok,
